1101,621,9,612
1210,49,278,229
1301,302,8,294
1303,491,693,202
1326,311,6,305
1337,40,154,114
1440,6,100,94
1457,471,29,442
1532,253,39,214
1609,0,112,112
1802,0,161,161
1909,78,257,179
2206,191,3,188
2311,0,237,237
2324,8,125,117
2337,766,488,278
2344,257,53,204
2368,159,18,141
2369,0,96,96
2401,270,20,250
2409,342,1672,1330
2457,149,36,113
2492,2,220,218
2501,121,4,117
2601,65,166,101
2609,58,300,242
2633,24,926,902
2809,209,0,209
2812,146,22,124
2832,123,9,114
2880,178,43,135
2886,133,17,116
2887,33,338,305
2888,87,311,224
2890,23,2088,2065
2891,6614,1829,4785
2892,381,158,223
2897,70,384,314
2903,111,0,111
2908,0,97,97
3019,149,51,98
3037,25,273,248
3044,134,0,134
3045,321,20,301
3051,0,101,101
3432,1,117,116
3441,187,14,173
3450,164,46,118
3481,388,2534,2146
3514,142,8,134
3545,258,23,235
3673TPK-KY,87,242,155
3682,24,187,163
4977,208,9,199
5425,56,273,217
6116,593,433,160
6231,0,219,219
6270,147,13,134
6284,33,124,91
9136,10,240,230
